7.23% Epoch [1/2], Step [117/809], Loss: 3.4529, Perplexity: 31.5930
7.29% Epoch [1/2], Step [118/809], Loss: 3.7256, Perplexity: 41.4955
7.35% Epoch [1/2], Step [119/809], Loss: 3.7366, Perplexity: 41.9569
7.42% Epoch [1/2], Step [120/809], Loss: 3.4994, Perplexity: 33.0952
7.48% Epoch [1/2], Step [121/809], Loss: 3.4884, Perplexity: 32.7347
7.54% Epoch [1/2], Step [122/809], Loss: 3.7851, Perplexity: 44.0383
7.60% Epoch [1/2], Step [123/809], Loss: 3.5116, Perplexity: 33.5030
7.66% Epoch [1/2], Step [124/809], Loss: 3.8400, Perplexity: 46.5236
7.73% Epoch [1/2], Step [125/809], Loss: 3.5167, Perplexity: 33.6721
7.79% Epoch [1/2], Step [126/809], Loss: 3.5660, Perplexity: 35.3762
7.85% Epoch [1/2], Step [127/809], Loss: 3.6195, Perplexity: 37.3201
7.91% Epoch [1/2], Step [128/809], Loss: 4.0768, Perplexity: 58.9580
7.97% Epoch [1/2], Step [129/809], Loss: 3.5253, Perplexity: 33.9656
8.03% Epoch [1/2], Step [130/809], Loss: 3.4842, Perplexity: 32.5961
8.10% Epoch [1/2], Step [131/809], Loss: 3.9000, Perplexity: 49.4028
8.16% Epoch [1/2], Step [132/809], Loss: 4.7106, Perplexity: 111.1175
8.22% Epoch [1/2], Step [133/809], Loss: 3.5281, Perplexity: 34.0607
8.28% Epoch [1/2], Step [134/809], Loss: 3.7077, Perplexity: 40.7604
8.34% Epoch [1/2], Step [135/809], Loss: 3.5231, Perplexity: 33.8907
8.41% Epoch [1/2], Step [136/809], Loss: 3.5646, Perplexity: 35.3266
8.47% Epoch [1/2], Step [137/809], Loss: 3.9316, Perplexity: 50.9899
8.53% Epoch [1/2], Step [138/809], Loss: 3.7038, Perplexity: 40.6008
8.59% Epoch [1/2], Step [139/809], Loss: 3.9686, Perplexity: 52.9103
8.65% Epoch [1/2], Step [140/809], Loss: 3.5062, Perplexity: 33.3202
8.71% Epoch [1/2], Step [141/809], Loss: 3.5189, Perplexity: 33.7474
8.78% Epoch [1/2], Step [142/809], Loss: 3.4901, Perplexity: 32.7887
8.84% Epoch [1/2], Step [143/809], Loss: 3.4793, Perplexity: 32.4386
8.90% Epoch [1/2], Step [144/809], Loss: 3.4068, Perplexity: 30.1671
8.96% Epoch [1/2], Step [145/809], Loss: 3.4950, Perplexity: 32.9504
9.02% Epoch [1/2], Step [146/809], Loss: 3.4140, Perplexity: 30.3856
9.09% Epoch [1/2], Step [147/809], Loss: 4.3267, Perplexity: 75.6919
9.15% Epoch [1/2], Step [148/809], Loss: 3.9107, Perplexity: 49.9362
9.21% Epoch [1/2], Step [149/809], Loss: 3.4725, Perplexity: 32.2165
9.27% Epoch [1/2], Step [150/809], Loss: 3.5122, Perplexity: 33.5221
9.33% Epoch [1/2], Step [151/809], Loss: 3.5601, Perplexity: 35.1657
9.39% Epoch [1/2], Step [152/809], Loss: 3.3505, Perplexity: 28.5176
9.46% Epoch [1/2], Step [153/809], Loss: 3.8911, Perplexity: 48.9630
9.52% Epoch [1/2], Step [154/809], Loss: 3.4051, Perplexity: 30.1171
9.58% Epoch [1/2], Step [155/809], Loss: 4.0226, Perplexity: 55.8450
9.64% Epoch [1/2], Step [156/809], Loss: 3.3676, Perplexity: 29.0098
9.70% Epoch [1/2], Step [157/809], Loss: 3.4908, Perplexity: 32.8123
9.77% Epoch [1/2], Step [158/809], Loss: 3.3976, Perplexity: 29.8913
9.83% Epoch [1/2], Step [159/809], Loss: 3.2977, Perplexity: 27.0499
9.89% Epoch [1/2], Step [160/809], Loss: 3.4649, Perplexity: 31.9729
9.95% Epoch [1/2], Step [161/809], Loss: 3.9297, Perplexity: 50.8922
10.01% Epoch [1/2], Step [162/809], Loss: 3.6202, Perplexity: 37.3437
10.07% Epoch [1/2], Step [163/809], Loss: 3.4283, Perplexity: 30.8255
10.14% Epoch [1/2], Step [164/809], Loss: 3.3375, Perplexity: 28.1500
10.20% Epoch [1/2], Step [165/809], Loss: 3.3643, Perplexity: 28.9137
10.26% Epoch [1/2], Step [166/809], Loss: 3.3476, Perplexity: 28.4346
10.32% Epoch [1/2], Step [167/809], Loss: 3.2740, Perplexity: 26.4179
10.38% Epoch [1/2], Step [168/809], Loss: 3.4678, Perplexity: 32.0676
10.44% Epoch [1/2], Step [169/809], Loss: 3.3435, Perplexity: 28.3191
10.51% Epoch [1/2], Step [170/809], Loss: 3.3315, Perplexity: 27.9805
10.57% Epoch [1/2], Step [171/809], Loss: 4.1492, Perplexity: 63.3817
10.63% Epoch [1/2], Step [172/809], Loss: 3.3716, Perplexity: 29.1246
10.69% Epoch [1/2], Step [173/809], Loss: 3.3629, Perplexity: 28.8723
10.75% Epoch [1/2], Step [174/809], Loss: 3.3124, Perplexity: 27.4516
10.82% Epoch [1/2], Step [175/809], Loss: 3.2916, Perplexity: 26.8868
10.88% Epoch [1/2], Step [176/809], Loss: 3.3250, Perplexity: 27.8003
10.94% Epoch [1/2], Step [177/809], Loss: 3.7191, Perplexity: 41.2284
11.00% Epoch [1/2], Step [178/809], Loss: 3.4601, Perplexity: 31.8208
11.06% Epoch [1/2], Step [179/809], Loss: 3.5765, Perplexity: 35.7466
11.12% Epoch [1/2], Step [180/809], Loss: 3.5862, Perplexity: 36.0974
11.19% Epoch [1/2], Step [181/809], Loss: 3.2531, Perplexity: 25.8707
11.25% Epoch [1/2], Step [182/809], Loss: 3.2475, Perplexity: 25.7264
11.31% Epoch [1/2], Step [183/809], Loss: 3.2718, Perplexity: 26.3579
11.37% Epoch [1/2], Step [184/809], Loss: 3.2246, Perplexity: 25.1442
11.43% Epoch [1/2], Step [185/809], Loss: 3.4660, Perplexity: 32.0078
11.50% Epoch [1/2], Step [186/809], Loss: 3.4531, Perplexity: 31.5975
11.56% Epoch [1/2], Step [187/809], Loss: 3.3826, Perplexity: 29.4473
11.62% Epoch [1/2], Step [188/809], Loss: 3.6693, Perplexity: 39.2254
11.68% Epoch [1/2], Step [189/809], Loss: 3.3546, Perplexity: 28.6330
11.74% Epoch [1/2], Step [190/809], Loss: 3.5308, Perplexity: 34.1501
11.80% Epoch [1/2], Step [191/809], Loss: 3.2099, Perplexity: 24.7777
11.87% Epoch [1/2], Step [192/809], Loss: 3.2506, Perplexity: 25.8060
11.93% Epoch [1/2], Step [193/809], Loss: 3.2145, Perplexity: 24.8912
11.99% Epoch [1/2], Step [194/809], Loss: 3.2017, Perplexity: 24.5746
12.05% Epoch [1/2], Step [195/809], Loss: 3.1980, Perplexity: 24.4824
12.11% Epoch [1/2], Step [196/809], Loss: 3.2448, Perplexity: 25.6566
12.18% Epoch [1/2], Step [197/809], Loss: 3.2303, Perplexity: 25.2878
